ID_REF,values
cg21996134,4.11742788754161
cg24373735,3.18901270160927
cg09364122,4.08281384608588
cg17006413,4.3869740317706
cg21472517,4.80395653950025
cg01922485,4.19310696312714
cg03125763,1.1967741997739
cg26155520,1.04560659978812
cg23691733,3.33411252600187
cg27582017,-5.07631490019927
cg08899471,3.00813057279342
cg20619296,3.29851581012293
cg18329352,2.28399473483681
cg25973293,3.36682148702959
cg23622235,2.98700084998127
cg17094363,3.66860348823154
cg21775619,3.23072544059393
cg11750929,1.89578428662915
cg09032281,2.60574888541872
cg19708306,2.51349559982188
cg23259694,5.55684614750909
cg03760138,3.1641177734151
cg24158844,-3.5892127711768
cg25772221,-3.45084232821838
cg25340711,3.09499116729327
cg03228985,3.33310622343826
cg04311266,3.05962475162927
cg05929553,3.40617184160278
cg23087108,5.48899710561417
cg06910084,1.6937365706679
cg00942814,2.36262392888738
cg07812848,2.67516594206473
cg24576260,-0.531126141294886
cg09870910,4.29280338036775
cg03465880,5.99693032140993
cg26108719,2.40300370618655
cg15492552,-1.01712151057526
cg18148498,2.35484503997293
cg00599812,2.6027182533313
cg26042514,5.24579857684499
cg24470133,3.99882145403221
cg00355315,5.37655063159137
cg00151676,4.51957021539075
cg20462449,3.32350495997316
cg21106418,3.94237821120379
cg10065215,4.13439448864719
cg14976190,4.5739428726926
cg27047637,3.12071986987961
cg01826337,2.4482079102936
cg06443644,2.83195143676154
cg22619719,-3.10502274521764
cg04245726,1.4672564124949
cg15546282,5.70318994339594
cg07105421,4.2081868649985
cg03771099,1.318955150421
cg11946378,0.129529479588395
cg04724873,2.462839290802
cg17130982,2.57931526374038
cg03734700,4.07785481813298
cg26221719,4.41170855787793
cg22332100,6.38273766939976
cg14599857,5.85970582206274
cg26252027,2.66885081370688
cg02361803,2.11422123521066
cg22868225,5.39045458136014
cg26561349,3.17686793183542
cg08732456,2.87312468520374
cg18803110,4.3935473345722
cg12718519,-2.51671020262794
cg00171113,2.61001097109122
cg06888836,1.46135147488752
cg19928739,4.36686323593885
cg22942532,3.20837691289618
cg09144608,3.28569630273597
cg07093776,3.816659011571
cg07131604,2.72319061182568
cg15575834,4.9925510395463
cg09225489,2.91868288584375
cg10313879,5.01462119103135
cg05776004,3.34643500508658
cg02854763,5.12760776240623
cg07029226,2.95050347106349
cg05706173,4.2505426557895
cg21282837,3.97786963903918
cg01514357,5.0047520172077
cg15468976,0.447474742281393
cg17025688,4.40463968828172
cg20457594,2.90420479640048
cg10769649,4.64122371482337
cg27449973,2.78578082178837
cg02066716,5.2974135852415
cg12611488,2.22306261742777
cg15979171,3.48489925387846
cg05156582,3.22977053291585
cg02050917,0.930276986133633
cg07842327,4.85426663150513
cg26605914,3.1460175294974
cg08468599,0.752328748996283
cg21442419,3.17892535243154
cg17165158,5.91599148844223
cg25314600,4.04429189255045
cg18934822,4.34982472246497
cg00954996,2.05584801159607
cg10982378,3.02113604324777
cg12483545,4.10301405198069
cg17183215,4.22359203659007
cg08863830,3.25996263539468
cg26566407,4.06425632579945
cg06087623,5.32896244103686
cg11224984,4.07269026458036
cg18235167,2.2264018627688
cg24579224,5.12789548213721
cg19025786,4.4626626936863
cg22519947,4.29069651599014
cg14288483,3.26132200112794
cg20406347,4.38057216148195
cg07087919,3.61165930503092
cg18435782,4.08135530204073
cg20826345,3.7601101231858
cg25880537,1.97923834129778
cg17506588,1.49931612344576
cg22388472,-3.33758315553356
cg14032998,2.99380672591065
cg06753057,3.46216086018975
cg22495848,4.07063640240098
cg17820022,3.52897294952998
cg08655953,2.68609162895811
cg11692307,3.75610449224427
cg10219816,3.46370102342339
cg05962079,4.2675893972695
cg24516259,3.49849673061582
cg15824094,3.44729772247458
cg08716217,5.28538542646114
cg07247405,0.178879458309399
cg10220117,1.07814926635256
cg24117915,3.89609260011254
cg09808235,-1.08176578305721
cg24688471,-2.1220191591091
cg05697835,1.99300640662897
cg24074480,2.22855763574023
cg01433109,3.71010497776396
cg17882544,1.65029084798083
cg08624093,3.26945325785889
cg25207052,5.21449803688947
cg10105681,-4.04298212482372
cg15644634,-3.15232497814711
cg19817291,4.46168261685086
cg07906828,4.17353733783064
cg22798223,4.57479301130586
cg15522425,0.718395994656238
cg15325070,1.17087363130051
cg07559303,2.73951951916081
cg14839809,3.74312253254294
cg20613432,0.174457141533419
cg11414913,1.00648835180847
cg07788537,3.90596479458172
cg03543952,5.63316094384745
